case,pick_step,env_step,tcp_object_m,grip_command,finger_qpos_sum_m,left_force_norm,right_force_norm,object_displacement_m,base_x,base_y,base_yaw,grasp30,native_grasp,native_fail,cumulative_force_within_limit,robot_cumulative_force,robot_force,subtask_steps_left
template-stop,1,331,1.4864000779834714,1.0,0.05771064572036266,0.0,0.0,3.5762786865234375e-07,-0.0741925835609436,-0.9855495095252991,-1.932093620300293,False,False,False,True,0.0,0.0,199
template-stop,2,332,1.4244346632235145,0.9893251442716525,0.07469101250171661,0.0,0.0,5.960464477539063e-08,-0.07868240773677826,-1.0010902881622314,-1.9966219663619995,False,False,False,True,0.0,0.0,198
template-stop,3,333,1.3709399357538832,1.0,0.08470863103866577,0.0,0.0,0.0,-0.0890495777130127,-1.0248171091079712,-1.990469217300415,False,False,False,True,0.0,0.0,197
template-stop,4,334,1.3200192281251149,1.0,0.09077967330813408,0.0,0.0,0.0,-0.10380309820175171,-1.0546413660049438,-1.93818998336792,False,False,False,True,0.0,0.0,196
template-stop,5,335,1.2662087518904022,1.0,0.09447689726948738,0.0,0.0,5.960464477539063e-08,-0.12080681324005127,-1.0897226333618164,-1.9419341087341309,False,False,False,True,0.0,0.0,195
template-stop,6,336,1.1981495349648736,1.0,0.09679469838738441,0.0,0.0,5.960464477539063e-08,-0.13732069730758667,-1.1293131113052368,-2.0149669647216797,False,False,False,True,0.0,0.0,194
template-stop,7,337,1.123081817003503,0.976008527928727,0.09764446318149567,0.0,0.0,0.0,-0.15391041338443756,-1.1713507175445557,-2.0358591079711914,False,False,False,True,0.0,0.0,193
template-stop,8,338,1.0541424280686753,1.0,0.09859639778733253,0.0,0.0,3.5762786865234375e-07,-0.1730201095342636,-1.2138667106628418,-2.0517258644104004,False,False,False,True,0.0,0.0,192
template-stop,9,339,0.9864402020302686,1.0,0.09916559606790543,0.0,0.0,0.0,-0.1933429092168808,-1.2568411827087402,-2.050074815750122,False,False,False,True,0.0,0.0,191
template-stop,10,340,0.9230619942691981,1.0,0.09950213134288788,0.0,0.0,0.0,-0.2146473377943039,-1.300126075744629,-2.0324838161468506,False,False,False,True,0.0,0.0,190
template-stop,11,341,0.8569071964542349,1.0,0.09964985400438309,0.0,0.0,0.0,-0.23576758801937103,-1.3441448211669922,-2.0328731536865234,False,False,False,True,0.0,0.0,189
template-stop,12,342,0.7846063867492007,1.0,0.09976581111550331,0.0,0.0,5.960464477539063e-08,-0.2561799883842468,-1.3889245986938477,-2.0194027423858643,False,False,False,True,0.0,0.0,188
template-stop,13,343,0.7125046256540359,0.986406080777864,0.09955897182226181,0.0,0.0,5.960464477539063e-08,-0.2770344018936157,-1.43359375,-2.01796817779541,False,False,False,True,0.0,0.0,187
template-stop,14,344,0.6420062663974039,0.9539104915828208,0.09872009605169296,0.0,0.0,5.960464477539063e-08,-0.2978183627128601,-1.4780906438827515,-2.0271918773651123,False,False,False,True,0.0,0.0,186
template-stop,15,345,0.5732373305501911,1.0,0.0992671549320221,0.0,0.0,0.0,-0.31872761249542236,-1.522491455078125,-2.0228700637817383,False,False,False,True,0.0,0.0,185
template-stop,16,346,0.5083353225087778,0.9637951862244395,0.09874358773231506,0.0,0.0,5.960464477539063e-08,-0.3401367664337158,-1.566774606704712,-2.000751495361328,False,False,False,True,0.0,0.0,184
template-stop,17,347,0.4476704855880196,0.9817432043607811,0.09881896525621414,0.0,0.0,5.960464477539063e-08,-0.36217984557151794,-1.6111702919006348,-1.9868929386138916,False,False,False,True,0.0,0.0,183
template-stop,18,348,0.395506312374263,0.9595089363418726,0.09834583476185799,0.0,0.0,3.4240261593687705e-07,-0.38340774178504944,-1.6548739671707153,-1.9694044589996338,False,False,False,True,0.0,0.0,182
template-stop,19,349,0.3538996298856284,0.9185615199011122,0.0971108041703701,0.0,0.0,3.4240261593687705e-07,-0.40300965309143066,-1.6967060565948486,-1.9582051038742065,False,False,False,True,0.0,0.0,181
template-stop,20,350,0.3141429933002053,0.9904775905865092,0.0980401374399662,0.0,0.0,5.960464477539063e-08,-0.4214039146900177,-1.7380852699279785,-1.9449076652526855,False,False,False,True,0.0,0.0,180
template-stop,21,351,0.27806480415453766,1.0,0.09885284677147865,0.0,0.0,5.960464477539063e-08,-0.43928462266921997,-1.7801005840301514,-1.9254120588302612,False,False,False,True,0.0,0.0,179
template-stop,22,352,0.24665435128425384,0.971651846152446,0.09867776930332184,0.0,0.0,5.960464477539063e-08,-0.4566989243030548,-1.8228178024291992,-1.9079227447509766,False,False,False,True,0.0,0.0,178
template-stop,23,353,0.219589572988116,0.8708486034101753,0.09622489660978317,0.0,0.0,0.0,-0.47349682450294495,-1.8656527996063232,-1.8969612121582031,False,False,False,True,0.0,0.0,177
template-stop,24,354,0.228430265192928,-1.0,0.05097595043480396,0.0,0.0,5.960464477539063e-08,-0.4883232116699219,-1.9017467498779297,-1.92953360080719,False,False,False,True,0.0,0.0,176
template-stop,25,355,0.25142665383315327,-1.0,0.0230404082685709,0.0,0.0,1.1920928955078125e-07,-0.49576088786125183,-1.9282492399215698,-1.9680769443511963,False,False,False,True,0.0,0.0,175
template-stop,26,356,0.25019484470356396,-1.0,0.006099257152527571,0.0,0.0,0.0,-0.49539870023727417,-1.9458367824554443,-2.05432391166687,False,False,False,True,0.0,0.0,174
template-stop,27,357,0.21636402848586345,-1.0,0.0,0.0,0.0,5.960464477539063e-08,-0.4920140504837036,-1.9593392610549927,-2.0253045558929443,False,False,False,True,0.0,0.0,173
template-stop,28,358,0.214391834725509,0.5095353640990553,0.027510009706020355,0.0,0.0,5.960464477539063e-08,-0.4949924945831299,-1.9746637344360352,-2.0142977237701416,False,False,False,True,0.0,0.0,172
template-stop,29,359,0.2204938895123316,-1.0,0.00923700025305152,0.0,0.0,5.960464477539063e-08,-0.4989210069179535,-1.9871891736984253,-2.1049952507019043,False,False,False,True,0.0,0.0,171
template-stop,30,360,0.2304867183610689,-1.0,0.0,0.0,0.0,5.960464477539063e-08,-0.49713134765625,-1.9931998252868652,-2.111908435821533,False,False,False,True,0.0,0.0,170
template-stop,31,361,0.24106418033635707,-1.0,0.0,0.0,0.0,3.5762786865234375e-07,-0.49469155073165894,-1.9928078651428223,-2.2012221813201904,False,False,False,True,0.0,0.0,169
template-stop,32,362,0.25350413393064625,-1.0,0.0,0.0,0.0,5.960464477539063e-08,-0.48778674006462097,-1.9880266189575195,-2.1927123069763184,False,False,False,True,0.0,0.0,168
template-stop,33,363,0.28140308621192156,-1.0,0.0,0.0,0.0,3.5762786865234375e-07,-0.4821924567222595,-1.9801876544952393,-2.2953410148620605,False,False,False,True,0.0,0.0,167
template-stop,34,364,0.30493412746573473,-0.7868989212085227,0.0,0.0,0.0,5.960464477539063e-08,-0.4709431529045105,-1.970245599746704,-2.2549660205841064,False,False,False,True,0.0,0.0,166
gpt-stop,1,331,1.5068412712887382,0.9242242204013099,0.055620698258280754,0.0,0.0,3.5762786865234375e-07,-0.07409985363483429,-0.9844599366188049,-1.7563942670822144,False,False,False,True,0.0,0.0,199
gpt-stop,2,332,1.4703376867924443,1.0,0.07322893291711807,0.0,0.0,5.960464477539063e-08,-0.07961428910493851,-0.9983876347541809,-1.8120664358139038,False,False,False,True,0.0,0.0,198
gpt-stop,3,333,1.4175134874607938,1.0,0.08387120440602303,0.0,0.0,0.0,-0.0855245366692543,-1.0223737955093384,-1.8285044431686401,False,False,False,True,0.0,0.0,197
gpt-stop,4,334,1.363780804488808,0.981950224243992,0.08987131342291832,0.0,0.0,0.0,-0.09414094686508179,-1.0539186000823975,-1.8406327962875366,False,False,False,True,0.0,0.0,196
gpt-stop,5,335,1.3044729654607696,0.9801042672589874,0.09345537796616554,0.0,0.0,5.960464477539063e-08,-0.10430753231048584,-1.0909149646759033,-1.867821216583252,False,False,False,True,0.0,0.0,195
gpt-stop,6,336,1.240918577099904,0.9756238248870058,0.09555651247501373,0.0,0.0,5.960464477539063e-08,-0.11556220799684525,-1.131593942642212,-1.9030143022537231,False,False,False,True,0.0,0.0,194
gpt-stop,7,337,1.173638209145686,0.9889329585835503,0.0971277542412281,0.0,0.0,0.0,-0.12802468240261078,-1.1743824481964111,-1.9398638010025024,False,False,False,True,0.0,0.0,193
gpt-stop,8,338,1.1099645834044782,0.9670032223951367,0.09750589355826378,0.0,0.0,3.5762786865234375e-07,-0.14206066727638245,-1.2182949781417847,-1.9416636228561401,False,False,False,True,0.0,0.0,192
gpt-stop,9,339,1.057278993473013,0.9990377380465055,0.09846749901771545,0.0,0.0,0.0,-0.1579992026090622,-1.2623732089996338,-1.9329077005386353,False,False,False,True,0.0,0.0,191
gpt-stop,10,340,1.0098055454343908,0.9891834490790706,0.0988491103053093,0.0,0.0,0.0,-0.17440955340862274,-1.3068568706512451,-1.9185419082641602,False,False,False,True,0.0,0.0,190
gpt-stop,11,341,0.9592576037904367,1.0,0.09932419657707214,0.0,0.0,0.0,-0.19047974050045013,-1.352302074432373,-1.9064933061599731,False,False,False,True,0.0,0.0,189
gpt-stop,12,342,0.8997570581012257,1.0,0.09954512864351273,0.0,0.0,5.960464477539063e-08,-0.20555952191352844,-1.3981817960739136,-1.8996111154556274,False,False,False,True,0.0,0.0,188
gpt-stop,13,343,0.8345592138216166,1.0,0.09969032183289528,0.0,0.0,5.960464477539063e-08,-0.22022029757499695,-1.4443296194076538,-1.8880677223205566,False,False,False,True,0.0,0.0,187
gpt-stop,14,344,0.7660212334814733,1.0,0.0997055172920227,0.0,0.0,5.960464477539063e-08,-0.23521077632904053,-1.4909274578094482,-1.8904519081115723,False,False,False,True,0.0,0.0,186
gpt-stop,15,345,0.6996119113733916,0.9562400888228081,0.09880485013127327,0.0,0.0,0.0,-0.25011855363845825,-1.5377085208892822,-1.8828247785568237,False,False,False,True,0.0,0.0,185
gpt-stop,16,346,0.6425756111535433,0.9957059412801078,0.09915941953659058,0.0,0.0,5.960464477539063e-08,-0.26527518033981323,-1.5837490558624268,-1.8673876523971558,False,False,False,True,0.0,0.0,184
gpt-stop,17,347,0.5992132325433644,0.9582934220075182,0.09852896258234978,0.0,0.0,5.960464477539063e-08,-0.2804044485092163,-1.6290510892868042,-1.8504157066345215,False,False,False,True,0.0,0.0,183
gpt-stop,18,348,0.5642311651803561,1.0,0.0991133376955986,0.0,0.0,3.4240261593687705e-07,-0.29510626196861267,-1.6745702028274536,-1.8251668214797974,False,False,False,True,0.0,0.0,182
gpt-stop,19,349,0.5406697903778828,0.980201422889777,0.09901020675897598,0.0,0.0,3.4240261593687705e-07,-0.3096460700035095,-1.7208316326141357,-1.7874603271484375,False,False,False,True,0.0,0.0,181
gpt-stop,20,350,0.5370779444486623,0.8938860088073234,0.09694715961813927,0.0,0.0,5.960464477539063e-08,-0.32322391867637634,-1.7661991119384766,-1.7563632726669312,False,False,False,True,0.0,0.0,180
gpt-stop,21,351,0.5419785935145447,0.9387346157724353,0.0967310406267643,0.0,0.0,5.960464477539063e-08,-0.33501988649368286,-1.81071138381958,-1.7339657545089722,False,False,False,True,0.0,0.0,179
gpt-stop,22,352,0.5362064451642465,0.9654521766952798,0.09723978489637375,0.0,0.0,5.960464477539063e-08,-0.345287561416626,-1.8554096221923828,-1.7216436862945557,False,False,False,True,0.0,0.0,178
gpt-stop,23,353,0.5273819459311601,1.0,0.09835115075111389,0.0,0.0,0.0,-0.35422205924987793,-1.9013686180114746,-1.7111012935638428,False,False,False,True,0.0,0.0,177
gpt-stop,24,354,0.5226434224120188,0.9880475120951183,0.09878223389387131,0.0,0.0,5.960464477539063e-08,-0.3623915910720825,-1.9483827352523804,-1.684674620628357,False,False,False,True,0.0,0.0,176
gpt-stop,25,355,0.5334920516786797,1.0,0.09928671643137932,0.0,0.0,1.1920928955078125e-07,-0.3699912130832672,-1.99539053440094,-1.650465488433838,False,False,False,True,0.0,0.0,175
gpt-stop,26,356,0.554539869623643,1.0,0.0995778925716877,0.0,0.0,0.0,-0.37664055824279785,-2.0429251194000244,-1.6183186769485474,False,False,False,True,0.0,0.0,174
gpt-stop,27,357,0.592732032079872,0.908207675208614,0.09835944324731827,0.0,0.0,5.960464477539063e-08,-0.3830559253692627,-2.087482452392578,-1.585730791091919,False,False,False,True,4.762627601623535,4.762627601623535,173
gpt-stop,28,358,0.6490063740616798,-0.8994905982355821,0.07453931495547295,0.0,0.0,5.960464477539063e-08,-0.3893384635448456,-2.1242027282714844,-1.6250920295715332,False,False,False,True,4.762627601623535,0.0,172
gpt-stop,29,359,0.6921137711122359,-0.9225376241780775,0.07413759082555771,0.0,0.0,5.960464477539063e-08,-0.39289572834968567,-2.1512057781219482,-1.6363897323608398,False,False,False,True,4.762627601623535,0.0,171
gpt-stop,30,360,0.7367638574056243,-0.782712321172206,0.07425348088145256,0.0,0.0,5.960464477539063e-08,-0.3950674533843994,-2.167996644973755,-1.6494826078414917,False,False,False,True,4.762627601623535,0.0,170
gpt-stop,31,361,0.7771921818345193,-0.897619758482056,0.07415294647216797,0.0,0.0,3.5762786865234375e-07,-0.3960057199001312,-2.174800395965576,-1.6505627632141113,False,False,False,True,4.762627601623535,0.0,169
gpt-stop,32,362,0.8180424773256291,-0.9561732479967578,0.07411006838083267,0.0,0.0,5.960464477539063e-08,-0.3963896930217743,-2.1734602451324463,-1.6509429216384888,False,False,False,True,4.762627601623535,0.0,168
gpt-stop,33,363,0.862321438325608,-0.6833901673247369,0.07434802874922752,0.0,0.0,3.5762786865234375e-07,-0.3960217237472534,-2.164768934249878,-1.6305814981460571,False,False,False,True,4.762627601623535,0.0,167
template-observe,1,331,1.4944209761679506,0.9900865926200547,0.05734836123883724,0.0,0.0,3.5762786865234375e-07,-0.07447837293148041,-0.9851349592208862,-1.9075007438659668,False,False,False,True,0.0,0.0,199
template-observe,2,332,1.4381247460737718,1.0,0.074444729834795,0.0,0.0,5.960464477539063e-08,-0.07912047952413559,-1.0000832080841064,-1.9161875247955322,False,False,False,True,0.0,0.0,198
template-observe,3,333,1.3875385170456387,0.9909725141971458,0.08436597883701324,0.0,0.0,0.0,-0.08948767930269241,-1.023747444152832,-1.9227195978164673,False,False,False,True,0.0,0.0,197
template-observe,4,334,1.3301038373388356,1.0,0.09058186784386635,0.0,0.0,0.0,-0.10218965262174606,-1.0550532341003418,-1.942854404449463,False,False,False,True,0.0,0.0,196
template-observe,5,335,1.2651009517585192,0.9930130199880597,0.09422716870903969,0.0,0.0,5.960464477539063e-08,-0.11642558127641678,-1.0915441513061523,-1.98856782913208,False,False,False,True,0.0,0.0,195
template-observe,6,336,1.1938261481118846,1.0,0.09662125632166862,0.0,0.0,5.960464477539063e-08,-0.1319269835948944,-1.131465196609497,-2.044200897216797,False,False,False,True,0.0,0.0,194
template-observe,7,337,1.1205446902229053,1.0,0.09803207591176033,0.0,0.0,0.0,-0.14927220344543457,-1.173097848892212,-2.0775723457336426,False,False,False,True,0.0,0.0,193
template-observe,8,338,1.0509074942194443,0.9869955470316653,0.09853070229291916,0.0,0.0,3.5762786865234375e-07,-0.16909725964069366,-1.215243935585022,-2.089984178543091,False,False,False,True,0.0,0.0,192
template-observe,9,339,0.983490613616613,0.9565132648018012,0.09812432155013084,0.0,0.0,0.0,-0.1907595992088318,-1.2575900554656982,-2.0790507793426514,False,False,False,True,0.0,0.0,191
template-observe,10,340,0.921578398532513,1.0,0.09886473044753075,0.0,0.0,0.0,-0.21323120594024658,-1.2998980283737183,-2.057617425918579,False,False,False,True,0.0,0.0,190
template-observe,11,341,0.8583860418731734,1.0,0.09934443235397339,0.0,0.0,0.0,-0.2349236011505127,-1.3425549268722534,-2.045638084411621,False,False,False,True,0.0,0.0,189
template-observe,12,342,0.7865847409611622,0.9885582324036707,0.09927018359303474,0.0,0.0,5.960464477539063e-08,-0.25600478053092957,-1.3858129978179932,-2.0707476139068604,False,False,False,True,0.0,0.0,188
template-observe,13,343,0.7102236701890134,0.9405928062904122,0.0982072725892067,0.0,0.0,5.960464477539063e-08,-0.2771327495574951,-1.429751992225647,-2.078735589981079,False,False,False,True,0.0,0.0,187
template-observe,14,344,0.6365091060451354,0.9896946444762821,0.09869176521897316,0.0,0.0,5.960464477539063e-08,-0.2992697060108185,-1.473210096359253,-2.086127996444702,False,False,False,True,0.0,0.0,186
template-observe,15,345,0.5645772633478933,0.9863870772314994,0.09892291575670242,0.0,0.0,0.0,-0.32214269042015076,-1.516391396522522,-2.095376491546631,False,False,False,True,0.0,0.0,185
template-observe,16,346,0.4953411836830687,0.9295230029886227,0.0977189652621746,0.0,0.0,5.960464477539063e-08,-0.34550583362579346,-1.5590885877609253,-2.0889954566955566,False,False,False,True,0.0,0.0,184
template-observe,17,347,0.4279801209003929,0.9885155931965147,0.09833389148116112,0.0,0.0,5.960464477539063e-08,-0.36946725845336914,-1.6011565923690796,-2.073925495147705,False,False,False,True,0.0,0.0,183
template-observe,18,348,0.36539132404924535,0.9223666237441567,0.0971812941133976,0.0,0.0,3.4240261593687705e-07,-0.39337724447250366,-1.6427257061004639,-2.057997941970825,False,False,False,True,0.0,0.0,182
template-observe,19,349,0.3099590114384458,0.9515827946974699,0.09714942425489426,0.0,0.0,3.4240261593687705e-07,-0.41652145981788635,-1.6835469007492065,-2.0374250411987305,False,False,False,True,0.0,0.0,181
template-observe,20,350,0.2632656467022528,0.9850708441014117,0.09792737662792206,0.0,0.0,5.960464477539063e-08,-0.43895596265792847,-1.7242801189422607,-2.019943952560425,False,False,False,True,0.0,0.0,180
template-observe,21,351,0.21887400607434596,1.0,0.09879173338413239,0.0,0.0,5.960464477539063e-08,-0.4607544243335724,-1.7656068801879883,-2.0017688274383545,False,False,False,True,0.0,0.0,179
template-observe,22,352,0.1816808109780546,0.9989213413250216,0.09928160160779953,0.0,0.0,5.960464477539063e-08,-0.48215094208717346,-1.8078279495239258,-1.979943037033081,False,False,False,True,0.0,0.0,178
template-observe,23,353,0.15424578793904797,1.0,0.09957867115736008,0.0,0.0,0.0,-0.5029622912406921,-1.8508760929107666,-1.9548388719558716,False,False,False,True,0.0,0.0,177
template-observe,24,354,0.139032483020616,0.9837714766187228,0.09938919916749,0.0,0.0,5.960464477539063e-08,-0.5229724049568176,-1.8941588401794434,-1.9272165298461914,False,False,False,True,0.0,0.0,176
template-observe,25,355,0.1451100472046178,0.9511061620002094,0.09849932417273521,0.0,0.0,1.1920928955078125e-07,-0.5422987341880798,-1.9361530542373657,-1.9231576919555664,False,False,False,True,0.0,0.0,175
template-observe,26,356,0.18795284312625374,-0.6888554684870709,0.059612590819597244,0.0,0.0,0.0,-0.5577874183654785,-1.9712997674942017,-1.9337670803070068,False,False,False,True,0.0,0.0,174
template-observe,27,357,0.2304309742976882,-0.9719735684634723,0.02906391117721796,0.0,0.0,5.960464477539063e-08,-0.565514087677002,-1.9970965385437012,-1.971465826034546,False,False,False,True,0.0,0.0,173
template-observe,28,358,0.2578429335922553,-0.882362761283126,0.012483714614063501,0.0,0.0,5.960464477539063e-08,-0.5655609369277954,-2.0133912563323975,-2.0072736740112305,False,False,False,True,0.0,0.0,172
template-observe,29,359,0.2755287221462937,-1.0,8.756550329280799e-08,0.0,0.0,5.960464477539063e-08,-0.5606933236122131,-2.019634485244751,-2.0373151302337646,False,False,False,True,0.0,0.0,171
template-observe,30,360,0.2977227287318797,-1.0,0.0,0.0,0.0,5.960464477539063e-08,-0.5565393567085266,-2.0243818759918213,-2.059551477432251,False,False,False,True,0.0,0.0,170
template-observe,31,361,0.3132303602352548,-1.0,0.0,0.0,0.0,3.5762786865234375e-07,-0.5562165975570679,-2.0310099124908447,-2.1380622386932373,False,False,False,True,0.0,0.0,169
