scope,predicted_channel,predicted_name,expert_channel,expert_name,pearson
first_action,0,shoulder_pan,0,shoulder_pan,0.5678469331959034
first_action,0,shoulder_pan,1,shoulder_lift,0.2988370656442749
first_action,0,shoulder_pan,2,upperarm_roll,-0.19840329245717978
first_action,0,shoulder_pan,3,elbow_flex,-0.41110546019654826
first_action,0,shoulder_pan,4,forearm_roll,-0.425427169110123
first_action,0,shoulder_pan,5,wrist_flex,-0.36231014021966285
first_action,0,shoulder_pan,6,wrist_roll,-0.009469055572447406
first_action,0,shoulder_pan,7,gripper,0.2780000553533422
first_action,0,shoulder_pan,8,head_pan,
first_action,0,shoulder_pan,9,head_tilt,
first_action,0,shoulder_pan,10,torso_lift,0.3585924099880619
first_action,0,shoulder_pan,11,base_forward,0.25707668739147893
first_action,0,shoulder_pan,12,base_yaw,-0.15049449750536226
first_action,1,shoulder_lift,0,shoulder_pan,0.18836401707697978
first_action,1,shoulder_lift,1,shoulder_lift,0.8517473224888591
first_action,1,shoulder_lift,2,upperarm_roll,-0.47019424445172225
first_action,1,shoulder_lift,3,elbow_flex,-0.8451984255690601
first_action,1,shoulder_lift,4,forearm_roll,-0.7321969310649584
first_action,1,shoulder_lift,5,wrist_flex,-0.8969997243398536
first_action,1,shoulder_lift,6,wrist_roll,-0.22115078282793163
first_action,1,shoulder_lift,7,gripper,0.8910079740216539
first_action,1,shoulder_lift,8,head_pan,
first_action,1,shoulder_lift,9,head_tilt,
first_action,1,shoulder_lift,10,torso_lift,0.23891494419547923
first_action,1,shoulder_lift,11,base_forward,0.7043994452967896
first_action,1,shoulder_lift,12,base_yaw,-0.005261547269441648
first_action,2,upperarm_roll,0,shoulder_pan,0.04528871058227024
first_action,2,upperarm_roll,1,shoulder_lift,-0.3172579988987748
first_action,2,upperarm_roll,2,upperarm_roll,0.6514473613908954
first_action,2,upperarm_roll,3,elbow_flex,0.46683780038458256
first_action,2,upperarm_roll,4,forearm_roll,0.49163881598439146
