tool_family,channel,channel_name,unit,progress_bin,progress_center,n,physical_mae,physical_signed_error
all,0,shoulder_pan,rad_delta,0,0.05,32,0.05257873399059464,0.004737118613775241
all,0,shoulder_pan,rad_delta,1,0.15,1,0.028149290382862097,0.028149290382862097
all,0,shoulder_pan,rad_delta,2,0.25,16,0.03285044073709287,0.005329828680260106
all,0,shoulder_pan,rad_delta,3,0.35,5,0.03413110084831715,-3.639377653599091e-05
all,0,shoulder_pan,rad_delta,4,0.45,12,0.0332235501255127,0.01614178753316083
all,0,shoulder_pan,rad_delta,5,0.55,15,0.03990469786416119,-0.008410728577679645
all,0,shoulder_pan,rad_delta,6,0.65,6,0.028402614158888662,0.010298057831823833
all,0,shoulder_pan,rad_delta,7,0.75,9,0.045429088828839476,-0.01571122977927896
all,0,shoulder_pan,rad_delta,9,0.95,32,0.032458866437536926,-0.020312139005454814
all,1,shoulder_lift,rad_delta,0,0.05,32,0.034899482550099496,0.006294179684482514
all,1,shoulder_lift,rad_delta,1,0.15,1,0.002171491086482999,-0.002171491086482999
all,1,shoulder_lift,rad_delta,2,0.25,16,0.035485393740964356,0.020026055683410957
all,1,shoulder_lift,rad_delta,3,0.35,5,0.02008180290460586,-0.001716002523899085
all,1,shoulder_lift,rad_delta,4,0.45,12,0.016988733216809732,0.006457931804470718
all,1,shoulder_lift,rad_delta,5,0.55,15,0.012322085738802951,0.007887539537623525
all,1,shoulder_lift,rad_delta,6,0.65,6,0.008135647326707846,0.008135647326707846
all,1,shoulder_lift,rad_delta,7,0.75,9,0.03576605936719312,0.0013624118847979441
all,1,shoulder_lift,rad_delta,9,0.95,32,0.015030912728980184,0.005524908960796894
all,2,upperarm_roll,rad_delta,0,0.05,32,0.04873607769259252,0.03259486761526205
all,2,upperarm_roll,rad_delta,1,0.15,1,0.016241067647933954,-0.016241067647933954
all,2,upperarm_roll,rad_delta,2,0.25,16,0.050586440751794734,0.004311991238500925
all,2,upperarm_roll,rad_delta,3,0.35,5,0.004977978765964508,-0.0017912200093269325
all,2,upperarm_roll,rad_delta,4,0.45,12,0.0569516108565343,0.00853611620841548
all,2,upperarm_roll,rad_delta,5,0.55,15,0.019267397591223326,-0.001444217817236986
all,2,upperarm_roll,rad_delta,6,0.65,6,0.007271751016378403,-0.007271751016378403
all,2,upperarm_roll,rad_delta,7,0.75,9,0.047375182312033665,-0.0008830772001399716
all,2,upperarm_roll,rad_delta,9,0.95,32,0.02214964255399536,-0.0006569110919372166
all,3,elbow_flex,rad_delta,0,0.05,32,0.023436458030482755,0.010981708677718416
all,3,elbow_flex,rad_delta,1,0.15,1,0.030371921509504324,-0.030371921509504324
all,3,elbow_flex,rad_delta,2,0.25,16,0.007515518739819526,-0.0022005792707204823
all,3,elbow_flex,rad_delta,3,0.35,5,0.011736682951450347,0.009627707898616791
all,3,elbow_flex,rad_delta,4,0.45,12,0.015823918115347627,-0.002925696006665627
all,3,elbow_flex,rad_delta,5,0.55,15,0.012964021873970822,-0.004783385184903939
all,3,elbow_flex,rad_delta,6,0.65,6,0.003951645890871679,0.0009308109680811588
all,3,elbow_flex,rad_delta,7,0.75,9,0.015602957444934876,0.003976735972699117
all,3,elbow_flex,rad_delta,9,0.95,32,0.0208385587814746,0.005755730899977608
all,4,forearm_roll,rad_delta,0,0.05,32,0.012863369844853877,-0.006282470910809936
all,4,forearm_roll,rad_delta,1,0.15,1,0.008172649145126332,0.008172649145126332
all,4,forearm_roll,rad_delta,2,0.25,16,0.018938149686437106,-0.004263259202707556
all,4,forearm_roll,rad_delta,3,0.35,5,0.01151626780629159,-0.01151626780629159
all,4,forearm_roll,rad_delta,4,0.45,12,0.039424332145911956,-0.00440141604437182
all,4,forearm_roll,rad_delta,5,0.55,15,0.019877055011068786,-0.001445002583786848
all,4,forearm_roll,rad_delta,6,0.65,6,0.014067069068551057,-0.014067069068551057
all,4,forearm_roll,rad_delta,7,0.75,9,0.024247977286318525,0.005321875114976944
all,4,forearm_roll,rad_delta,9,0.95,32,0.026049949439766355,-0.004053768418089021
all,5,wrist_flex,rad_delta,0,0.05,32,0.03117433541920036,0.016007144725881516
all,5,wrist_flex,rad_delta,1,0.15,1,0.013326194882392894,-0.013326194882392894
all,5,wrist_flex,rad_delta,2,0.25,16,0.0060322798090055585,-0.002931223367340856
all,5,wrist_flex,rad_delta,3,0.35,5,0.009569952487945555,-0.009569952487945555
all,5,wrist_flex,rad_delta,4,0.45,12,0.010097652037317559,-0.0019315882120281476
all,5,wrist_flex,rad_delta,5,0.55,15,0.012523786822954814,-0.009626518885294593
all,5,wrist_flex,rad_delta,6,0.65,6,0.00619529609878858,-0.00433537488182386
all,5,wrist_flex,rad_delta,7,0.75,9,0.010514876272322402,-0.0031488294661459
all,5,wrist_flex,rad_delta,9,0.95,32,0.016442264286160933,0.00839591481053503
all,6,wrist_roll,rad_delta,0,0.05,32,0.04418494943383849,0.029857135085330812
all,6,wrist_roll,rad_delta,1,0.15,1,0.007227078825235378,0.007227078825235378
all,6,wrist_roll,rad_delta,2,0.25,16,0.030062379039009098,0.017746317110140807
all,6,wrist_roll,rad_delta,3,0.35,5,0.01965170916169882,-0.007616366185247897
all,6,wrist_roll,rad_delta,4,0.45,12,0.04623735407367349,-0.01880476453031103
all,6,wrist_roll,rad_delta,5,0.55,15,0.03150239618805548,0.001954319318756459
all,6,wrist_roll,rad_delta,6,0.65,6,0.031756152693803115,0.0017637305427342677
all,6,wrist_roll,rad_delta,7,0.75,9,0.031893530813977125,0.019672595590559974
all,6,wrist_roll,rad_delta,9,0.95,32,0.03154827005691914,0.004602350475579442
all,7,gripper,m_joint_target,0,0.05,32,0.012478027133474824,-0.003186165496153989
all,7,gripper,m_joint_target,1,0.15,1,0.003187659680843353,-0.003187659680843353
all,7,gripper,m_joint_target,2,0.25,16,0.00742561728868168,-0.001111595647525973
all,7,gripper,m_joint_target,3,0.35,5,0.009634606570936741,0.009634606570936741
all,7,gripper,m_joint_target,4,0.45,12,0.003286994956433772,-0.001991359330713748
all,7,gripper,m_joint_target,5,0.55,15,0.0029688272005878383,0.0007248366051353531
all,7,gripper,m_joint_target,6,0.65,6,0.004276426122523845,0.0017734733084216713
all,7,gripper,m_joint_target,7,0.75,9,0.0009592592716217028,-0.0006625003616015105
all,7,gripper,m_joint_target,9,0.95,32,0.0019650338130304586,-0.00039633114764001207
all,8,head_pan,rad_delta,0,0.05,32,0.0,0.0
all,8,head_pan,rad_delta,1,0.15,1,0.0,0.0
all,8,head_pan,rad_delta,2,0.25,16,0.0,0.0
all,8,head_pan,rad_delta,3,0.35,5,0.0,0.0
all,8,head_pan,rad_delta,4,0.45,12,0.0,0.0
all,8,head_pan,rad_delta,5,0.55,15,0.0,0.0
all,8,head_pan,rad_delta,6,0.65,6,0.0,0.0
all,8,head_pan,rad_delta,7,0.75,9,0.0,0.0
all,8,head_pan,rad_delta,9,0.95,32,0.0,0.0
all,9,head_tilt,rad_delta,0,0.05,32,0.0,0.0
all,9,head_tilt,rad_delta,1,0.15,1,0.0,0.0
all,9,head_tilt,rad_delta,2,0.25,16,0.0,0.0
all,9,head_tilt,rad_delta,3,0.35,5,0.0,0.0
all,9,head_tilt,rad_delta,4,0.45,12,0.0,0.0
all,9,head_tilt,rad_delta,5,0.55,15,0.0,0.0
all,9,head_tilt,rad_delta,6,0.65,6,0.0,0.0
all,9,head_tilt,rad_delta,7,0.75,9,0.0,0.0
all,9,head_tilt,rad_delta,9,0.95,32,0.0,0.0
all,10,torso_lift,m_delta,0,0.05,32,0.04403937522056367,0.00715874088691635
all,10,torso_lift,m_delta,1,0.15,1,0.007973007485270502,-0.007973007485270502
all,10,torso_lift,m_delta,2,0.25,16,0.03778366665465001,0.018835129448052615
all,10,torso_lift,m_delta,3,0.35,5,0.07507665060460568,-0.07507665060460568
all,10,torso_lift,m_delta,4,0.45,12,0.0354678384057479,0.027081827729125495
all,10,torso_lift,m_delta,5,0.55,15,0.03138248467197022,-0.002504351151486241
all,10,torso_lift,m_delta,6,0.65,6,0.03365855938754976,-0.032866290475552284
all,10,torso_lift,m_delta,7,0.75,9,0.06174730064166297,0.00914070790038547
all,10,torso_lift,m_delta,9,0.95,32,0.032952180065149154,0.001255714164108213
all,11,base_forward,m_per_s,0,0.05,32,0.35763749990655924,-0.0651240574552503
all,11,base_forward,m_per_s,1,0.15,1,0.19617516174912453,0.19617516174912453
all,11,base_forward,m_per_s,2,0.25,16,0.2900613727251766,0.1167113052069908
all,11,base_forward,m_per_s,3,0.35,5,0.3557945770677179,-0.3171000795904547
all,11,base_forward,m_per_s,4,0.45,12,0.22575671807377753,0.05831892213609535
all,11,base_forward,m_per_s,5,0.55,15,0.15569689443024495,0.12285908341097335
all,11,base_forward,m_per_s,6,0.65,6,0.2271972857415676,0.05641718084613482
all,11,base_forward,m_per_s,7,0.75,9,0.21673387821970713,0.08317527356040147
all,11,base_forward,m_per_s,9,0.95,32,0.15142157148488877,-0.03725761307555331
all,12,base_yaw,rad_per_s,0,0.05,32,1.084079953649253,0.6286472929000768
all,12,base_yaw,rad_per_s,1,0.15,1,0.02002465186174962,-0.02002465186174962
all,12,base_yaw,rad_per_s,2,0.25,16,0.46434645215880666,0.19039216696908634
all,12,base_yaw,rad_per_s,3,0.35,5,0.2785102383615448,-0.06426012345869092
all,12,base_yaw,rad_per_s,4,0.45,12,0.40325497409224526,-0.2576657491560763
all,12,base_yaw,rad_per_s,5,0.55,15,0.343310732336482,-0.0568589115818808
all,12,base_yaw,rad_per_s,6,0.65,6,0.31546635371574666,-0.03862453563391077
all,12,base_yaw,rad_per_s,7,0.75,9,0.48363777462664687,0.28567896991903474
all,12,base_yaw,rad_per_s,9,0.95,32,0.26650723228538026,-0.08314254834621802
grasp,0,shoulder_pan,rad_delta,0,0.05,11,0.04195706295696172,-0.0010242396796291521
grasp,0,shoulder_pan,rad_delta,2,0.25,1,0.05954488962888718,0.05954488962888718
grasp,0,shoulder_pan,rad_delta,3,0.35,5,0.03413110084831715,-3.639377653599091e-05
grasp,0,shoulder_pan,rad_delta,5,0.55,6,0.03579063652432524,-0.03579063652432524
grasp,0,shoulder_pan,rad_delta,6,0.65,5,0.02137061126530171,-0.0003548563271760882
grasp,0,shoulder_pan,rad_delta,9,0.95,11,0.029768532834185124,-0.02139949779745869
grasp,1,shoulder_lift,rad_delta,0,0.05,11,0.0291647849435156,-0.00834855410185727
grasp,1,shoulder_lift,rad_delta,2,0.25,1,0.0072701588273048345,0.0072701588273048345
grasp,1,shoulder_lift,rad_delta,3,0.35,5,0.02008180290460586,-0.001716002523899085
grasp,1,shoulder_lift,rad_delta,5,0.55,6,0.005917006234327958,0.005430248379707338
grasp,1,shoulder_lift,rad_delta,6,0.65,5,0.0027529928088188215,0.0027529928088188215
grasp,1,shoulder_lift,rad_delta,9,0.95,11,0.005246072397990659,0.004767412963238632
grasp,2,upperarm_roll,rad_delta,0,0.05,11,0.03182395561174914,0.017470493099906226
grasp,2,upperarm_roll,rad_delta,2,0.25,1,0.15298643410205842,0.15298643410205842
grasp,2,upperarm_roll,rad_delta,3,0.35,5,0.004977978765964508,-0.0017912200093269325
grasp,2,upperarm_roll,rad_delta,5,0.55,6,0.015041263401508331,-0.0007105340560277368
grasp,2,upperarm_roll,rad_delta,6,0.65,5,0.008593344092369079,-0.008593344092369079
grasp,2,upperarm_roll,rad_delta,9,0.95,11,0.008381645652380854,-0.00652931806716052
grasp,3,elbow_flex,rad_delta,0,0.05,11,0.058194182525304235,0.03260757206854495
grasp,3,elbow_flex,rad_delta,2,0.25,1,0.010297711193561543,-0.010297711193561543
grasp,3,elbow_flex,rad_delta,3,0.35,5,0.011736682951450347,0.009627707898616791
grasp,3,elbow_flex,rad_delta,5,0.55,6,0.004275771478811895,-0.003515249490737916
