variant,seed,execution_status,native_success,ever_grasped,steps,failure_reason,condition,artifact,artifact_sha256,video,video_sha256
frozen_best855,2024,policy_failure,False,False,22,native_cumulative_force_limit,ia_oracle_train_windows_v1;development;native200;minimal_gpu,D:\AI\embodied intelligence\runs\two-day-assets-2026-09-19\s1-oracle-base-20260919-r3\seed2024\result.json,5ad6123caf185f98de890fc1e7238a04f96fc26e8930e34abd469fe8fefac36d,D:\AI\embodied intelligence\repo\Bidirectional-VLA-Interface\docs\media\s1-oracle-baseline-2026-09-19-run03\fetch-s1-ia-oracle-pick-seed2024-episode000-failed.mp4,c6d6709a36c4a83f988f10bf95662a56c3e3f9158261cb19afb3a55acd0f1200
frozen_best855,2025,policy_failure,False,False,34,native_cumulative_force_limit,ia_oracle_train_windows_v1;development;native200;minimal_gpu,D:\AI\embodied intelligence\runs\two-day-assets-2026-09-19\s1-oracle-base-20260919-r3\seed2025\result.json,745710adb1cc7f67a3d96e1c37ca08aa4578e32c190f88d88222885bfedc56c4,D:\AI\embodied intelligence\repo\Bidirectional-VLA-Interface\docs\media\s1-oracle-baseline-2026-09-19-run03\fetch-s1-ia-oracle-pick-seed2025-episode000-failed.mp4,e269bb6c49de98fe3eb9dd7515ab1647cc1e9a565d709bd632eb45c1b4316ced
frozen_best855,2026,policy_failure,False,False,30,native_cumulative_force_limit,ia_oracle_train_windows_v1;development;native200;minimal_gpu,D:\AI\embodied intelligence\runs\two-day-assets-2026-09-19\s1-oracle-base-20260919-r3\seed2026\result.json,f358798bcc74713e84cc0870459681de7df526fb36c9a9b69b10c4215cd36005,D:\AI\embodied intelligence\repo\Bidirectional-VLA-Interface\docs\media\s1-oracle-baseline-2026-09-19-run03\fetch-s1-ia-oracle-pick-seed2026-episode000-failed.mp4,c51f82bed7a668c79e306b4fafce38d53650481dee8f5c1eb73217d9494fa6de
frozen_best855,2027,policy_failure,False,False,25,native_cumulative_force_limit,ia_oracle_train_windows_v1;development;native200;minimal_gpu,D:\AI\embodied intelligence\runs\two-day-assets-2026-09-19\s1-oracle-base-20260919-r3\seed2027\result.json,680ef1474b6b529855957adcce99656431f69661a3c3951e47a348ef8ff8f538,D:\AI\embodied intelligence\repo\Bidirectional-VLA-Interface\docs\media\s1-oracle-baseline-2026-09-19-run03\fetch-s1-ia-oracle-pick-seed2027-episode000-failed.mp4,f8eaf78723598d4675d4520c2cdd1e6348c64d40749793b5895959d0505ab5df
frozen_best855,2028,policy_failure,False,False,40,native_cumulative_force_limit,ia_oracle_train_windows_v1;development;native200;minimal_gpu,D:\AI\embodied intelligence\runs\two-day-assets-2026-09-19\s1-oracle-base-20260919-r3\seed2028\result.json,4069f4281eb8bef68a44a01d6d46167f9c1c078cbf1abd8d848723efad4de1b4,D:\AI\embodied intelligence\repo\Bidirectional-VLA-Interface\docs\media\s1-oracle-baseline-2026-09-19-run03\fetch-s1-ia-oracle-pick-seed2028-episode000-failed.mp4,18d10addf849e02d625389641c24c3b1757c4204765c6596955fc1466749f811
formal_candidate_best250,2024,policy_failure,False,False,23,native_cumulative_force_limit,ia_oracle_train_windows_v1;development;native200;minimal_gpu,D:\AI\embodied intelligence\runs\two-day-assets-2026-09-19\s1-oracle-cand-20260919-r1\seed2024\result.json,a6ea5e21d72323e256b475929c4835e01789d5b105969545215583d0c56e3f2f,D:\AI\embodied intelligence\repo\Bidirectional-VLA-Interface\docs\media\s1-oracle-candidate-2026-09-19-run01\fetch-s1-ia-oracle-pick-seed2024-episode000-failed.mp4,e2afbd4180da240748f14137bbcb46be4d3b70dd4855ed7ba4e720876c08a71d
formal_candidate_best250,2025,policy_failure,False,False,34,native_cumulative_force_limit,ia_oracle_train_windows_v1;development;native200;minimal_gpu,D:\AI\embodied intelligence\runs\two-day-assets-2026-09-19\s1-oracle-cand-20260919-r1\seed2025\result.json,7b3f655d83b99250751b204152f38925454242ef7f8bafaec9b174c91962b718,D:\AI\embodied intelligence\repo\Bidirectional-VLA-Interface\docs\media\s1-oracle-candidate-2026-09-19-run01\fetch-s1-ia-oracle-pick-seed2025-episode000-failed.mp4,c9a04bf4db8a8ce22e7579221d019702dc53462f5099e2b998c5a81d36b075c3
formal_candidate_best250,2026,policy_failure,False,False,32,native_cumulative_force_limit,ia_oracle_train_windows_v1;development;native200;minimal_gpu,D:\AI\embodied intelligence\runs\two-day-assets-2026-09-19\s1-oracle-cand-20260919-r1\seed2026\result.json,4a7768a044b5617d323165adfe7cd5919b5868837db8f310fb9506c3a8ef91c3,D:\AI\embodied intelligence\repo\Bidirectional-VLA-Interface\docs\media\s1-oracle-candidate-2026-09-19-run01\fetch-s1-ia-oracle-pick-seed2026-episode000-failed.mp4,2dde69bf378ddf097581c9d98ff2b64d0512c99eb0ab073d542f4d5e55236086
formal_candidate_best250,2027,policy_failure,False,False,19,native_cumulative_force_limit,ia_oracle_train_windows_v1;development;native200;minimal_gpu,D:\AI\embodied intelligence\runs\two-day-assets-2026-09-19\s1-oracle-cand-20260919-r1\seed2027\result.json,299c70b8a9a7eb63d69c211020f58cf499f89aab5f1550654952e8b40b70b808,D:\AI\embodied intelligence\repo\Bidirectional-VLA-Interface\docs\media\s1-oracle-candidate-2026-09-19-run01\fetch-s1-ia-oracle-pick-seed2027-episode000-failed.mp4,6ecea6ee7e70ca5e4bc76e5b847f405ca8446799632a04ce57c771c4790c75d2
formal_candidate_best250,2028,policy_failure,False,False,55,native_cumulative_force_limit,ia_oracle_train_windows_v1;development;native200;minimal_gpu,D:\AI\embodied intelligence\runs\two-day-assets-2026-09-19\s1-oracle-cand-20260919-r1\seed2028\result.json,3a9662f74326456e4636c8bb2dade6c2b61686f9eda6b55382c7732d1712cadf,D:\AI\embodied intelligence\repo\Bidirectional-VLA-Interface\docs\media\s1-oracle-candidate-2026-09-19-run01\fetch-s1-ia-oracle-pick-seed2028-episode000-failed.mp4,a5b13f299a707fba903b3cf334e80ade6498c521a733962e5d8e207ead24352d
