plan_position,plan_uid,asset_plan_index,scene,first_pick_object,source_furniture_type,case_status,navigation_steps,pick_steps,official_termination_reason,automatic_mechanism,reproducible_failure,repeat_pick_steps,repeat_termination_reason,repeat_mechanism,gpu1_process_seconds
0,tidy_house-sequential-val-0-0,0,v3_sc3_staging_14.scene_instance.json,002_master_chef_can-0,frl_apartment_table_02,navigation_failed,499,,,,,,,,57.34526777267456
1,tidy_house-sequential-val-1-0,1,v3_sc3_staging_20.scene_instance.json,008_pudding_box-0,frl_apartment_sofa,completed,78,200,pick_horizon_exhausted,grasped_but_incomplete,False,167,strict_success,strict_success,64.46818054839969
2,tidy_house-sequential-val-10-0,10,v3_sc3_staging_06.scene_instance.json,010_potted_meat_can-0,frl_apartment_table_01,navigation_already_satisfied_at_reset,0,,,,,,,,22.33592803031206
3,tidy_house-sequential-val-100-0,100,v3_sc3_staging_10.scene_instance.json,009_gelatin_box-0,kitchen_counter,completed,19,51,strict_success,strict_success,,,,,34.72320667281747
4,tidy_house-sequential-val-101-0,101,v3_sc3_staging_04.scene_instance.json,024_bowl-0,kitchen_counter,completed,64,27,strict_success,strict_success,,,,,35.476529240608215
5,tidy_house-sequential-val-102-0,102,v3_sc3_staging_04.scene_instance.json,005_tomato_soup_can-0,frl_apartment_table_02,completed,62,19,strict_success,strict_success,,,,,34.57473083212972
6,tidy_house-sequential-val-103-0,103,v3_sc3_staging_13.scene_instance.json,024_bowl-0,frl_apartment_chair_01,completed,89,45,strict_success,strict_success,,,,,38.13328370824456
7,tidy_house-sequential-val-104-0,104,v3_sc3_staging_17.scene_instance.json,008_pudding_box-0,kitchen_counter,completed,25,35,strict_success,strict_success,,,,,32.86689852178097
8,tidy_house-sequential-val-105-0,105,v3_sc3_staging_12.scene_instance.json,024_bowl-0,frl_apartment_chair_01,completed,109,37,strict_success,strict_success,,,,,41.1446806229651
9,tidy_house-sequential-val-106-0,106,v3_sc3_staging_15.scene_instance.json,008_pudding_box-0,frl_apartment_table_01,completed,151,200,pick_horizon_exhausted,grasp_failure,True,200,pick_horizon_exhausted,grasp_failure,78.8141288049519
10,tidy_house-sequential-val-107-0,107,v3_sc3_staging_02.scene_instance.json,003_cracker_box-0,frl_apartment_chair_01,completed,156,30,strict_success,strict_success,,,,,41.797298938035965
11,tidy_house-sequential-val-108-0,108,v3_sc3_staging_08.scene_instance.json,004_sugar_box-0,kitchen_counter,completed,30,56,strict_success,strict_success,,,,,35.87781686335802
12,tidy_house-sequential-val-109-0,109,v3_sc3_staging_12.scene_instance.json,010_potted_meat_can-0,frl_apartment_table_01,completed,83,30,cumulative_force_limit,base_obstacle_collision,False,48,strict_success,strict_success,43.552544213831425
13,tidy_house-sequential-val-11-0,11,v3_sc3_staging_11.scene_instance.json,003_cracker_box-0,frl_apartment_chair_01,completed,118,30,strict_success,strict_success,,,,,38.536993745714426
14,tidy_house-sequential-val-110-0,110,v3_sc3_staging_00.scene_instance.json,024_bowl-0,frl_apartment_table_01,completed,156,25,cumulative_force_limit,grasp_failure,False,24,cumulative_force_limit,grasp_failure,46.25540701672435
